objectname,objectid,rating,numplays,weight,own,fortrade,want,wanttobuy,wanttoplay,prevowned,preordered,wishlist,wishlistpriority,wishlistcomment,comment,conditiontext,haspartslist,wantpartslist,collid,baverage,average,avgweight,rank,numowned,objecttype,originalname,minplayers,maxplayers,playingtime,maxplaytime,minplaytime,yearpublished,bggrecplayers,bggbestplayers,bggrecagerange,bgglanguagedependence,publisherid,imageid,year,language,other,itemtype,barcode,pricepaid,pp_currency,currvalue,cv_currency,acquisitiondate,acquiredfrom,quantity,privatecomment,invlocation,invdate,version_publishers,version_languages,version_yearpublished,version_nickname
"Deception: Murder in Hong Kong","156129","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189029","7.2192","7.42342","1.5884","284","37397","thing","Deception: Murder in Hong Kong","4","12","20","20","20","2014","5,6,7,8,9,10,11,12","6,7,8","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Decrypto","225694","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","126153514","7.54854","7.76789","1.8256","115","44591","thing","Decrypto","3","8","45","45","15","2018","4,5,6,7,8","4,6","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Dune: Imperium – Uprising","397598","10","0","4","1","0","0","0","0","0","0","0","3","","","","","","126189378","8.20703","8.70081","3.5205","7","25731","thing","Dune: Imperium – Uprising","1","6","120","120","60","2023","1,2,3,4,6","4","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Flip 7","420087","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","132911097","6.96324","7.23614","1.0323","537","39956","thing","Flip 7","3","18","20","20","20","2024","3,4,5,6,7,8,9","5,6","6+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"The Fox in the Forest","221965","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","133124433","6.85852","7.05951","1.6036","666","38156","thing","The Fox in the Forest","2","2","30","30","30","2017","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"El Grande","93","9","0","0","1","0","0","0","0","0","0","0","2","","Area control!","","","","137727708","7.59185","7.76951","2.9359","100","34766","thing","El Grande","2","5","120","120","60","1995","3,4,5","5","12+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"High Society","220","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","126188947","6.96505","7.19335","1.4806","534","24088","thing","High Society","3","5","30","30","15","1995","3,4,5","4,5","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Inis","155821","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","126153517","7.53046","7.8143","2.9413","120","28936","thing","Inis","2","4","90","90","60","2016","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Isle of Skye: Big Box","369258","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189254","5.94002","7.93097","2.125","0","1841","thing","Isle of Skye: Big Box","2","5","60","60","60","2022","2,3,4,5","4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Just One","254640","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189005","7.44039","7.59635","1.0345","156","58750","thing","Just One","3","7","60","60","20","2018","4,5,6,7","6,7","8+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Libertalia: Winds of Galecrest","356033","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","133126164","6.983","7.44069","2.1951","512","14781","thing","Libertalia: Winds of Galecrest","1","6","60","60","45","2022","1,2,3,4,5,6","4,5,6","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"No Thanks!","12942","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","126188995","6.9558","7.08201","1.1302","549","45576","thing","No Thanks!","3","7","20","20","20","2004","3,4,5,6,7","4,5","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Not Alone","194879","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189001","6.66979","6.95636","1.9921","958","18036","thing","Not Alone","2","7","45","45","30","2016","3,4,5,6,7","4,5","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Pandemic Legacy: Season 1","161936","10","0","0","1","0","0","0","0","0","0","0","3","","","","","","127730122","8.35103","8.50558","2.8277","3","88685","thing","Pandemic Legacy: Season 1","2","4","60","60","60","2015","2,3,4","4","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Quacks: Deluxe Edition","244521","8","0","0","1","0","0","0","0","0","0","0","2","","","","","","136245927","7.66822","7.80602","1.9419","77","91795","thing","Quacks","2","4","45","45","45","2025","2,3,4","4","8+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","CMYK","English","2025","English edition"
"The Quest for El Dorado","217372","0","0","0","1","0","0","0","0","0","0","0","4","Racing deck builder through the jungle, casual!","","","","","139868831","7.53027","7.7128","1.9417","121","52053","thing","The Quest for El Dorado","2","4","60","60","30","2017","2,3,4","2,4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Ra","12","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189337","7.53904","7.70247","2.3094","117","38801","thing","Ra","2","5","60","60","45","1999","3,4,5","3,4","10+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sea Salt & Paper","367220","7","0","0","1","0","0","0","0","0","0","0","2","","","","","","126716096","7.24646","7.50591","1.4777","268","44161","thing","Sea Salt & Paper","2","4","45","45","30","2022","2,3,4","2","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Skull","92415","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126191448","7.01177","7.17384","1.1161","476","45764","thing","Skull","3","6","45","45","15","2011","3,4,5,6","5,6","8+","No necessary in-game text","","","","","","standalone","","","","","","","","","","","","","","",""
"Sky Team","373106","8","0","0","1","0","0","0","0","0","0","0","1","","","","","","139354962","7.87918","8.12868","2.0389","33","59328","thing","Sky Team","2","2","20","20","20","2023","2","2","10+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"So Clover!","329839","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126189108","7.23253","7.59402","1.1204","276","19804","thing","So Clover!","3","6","30","30","30","2021","2,3,4,5,6","3,4","10+","Unplayable in another language","","","","","","standalone","","","","","","","","","","","","","","",""
"Things in Rings","408547","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","139434254","6.40828","7.1452","1.3725","1547","6099","thing","Things in Rings","2","6","20","20","20","2024","2,3,4,5,6","4","8+","Some necessary text - easily memorized or small crib sheet","","","","","","standalone","","","","","","","","","","","","","","",""
"Watergate","274364","8","0","0","1","0","0","0","0","0","0","0","2","","","","","","133126057","7.38641","7.7246","2.2836","183","24520","thing","Watergate","2","2","60","60","30","2019","2","2","12+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wavelength","262543","9","0","0","1","0","0","0","0","0","0","0","3","","","","","","126191431","6.97818","7.20743","1.1155","515","31537","thing","Wavelength","2","12","45","45","30","2019","4,5,6,7,8,9,10,11,12","6,8","10+","Moderate in-game text - needs crib sheet or paste ups","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan","266192","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","126153461","7.85181","8.00424","2.4794","38","175559","thing","Wingspan","1","5","70","70","40","2019","1,2,3,4","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan Asia","366161","8","0","0","1","0","0","0","0","0","0","0","3","","","","","","127829718","7.61865","8.22318","2.6471","92","33005","thing","Wingspan Asia","1","2","70","70","40","2022","1,2","2","10+","Extensive use of text - massive conversion needed to be playable","","","","","","standalone","","","","","","","","","","","","","","",""
"Wingspan: European Expansion","290448","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","127829732","7.92709","8.32847","2.438","0","60309","thing","Wingspan: European Expansion","1","5","70","70","40","2019","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
"Wingspan: Oceania Expansion","300580","7","0","0","1","0","0","0","0","0","0","0","3","","","","","","127829708","7.91739","8.452","2.6701","0","49018","thing","Wingspan: Oceania Expansion","1","5","70","70","40","2020","1,2,3,4,5","3","10+","Extensive use of text - massive conversion needed to be playable","","","","","","expansion","","","","","","","","","","","","","","",""
